panel_member_id,target_metal,chosen_parameter_family,direct_support_status,baseline_parameter_family,baseline_numeric_values_present,tuned_parameter_family,tuned_numeric_values_present,ready_for_openmm_system_build_baseline,ready_for_openmm_system_build_tuned,rationale
am1_mex_ss_only_u02,Dy,chelator_tuned_12_6_4_lanmodulin,direct,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b conservatively kept this system custom because the direct 'chelator_tuned_12_6_4_lanmodulin' family was only conceptual at the time. Phase 6A2c now records published generic OPC3 12-6-4 coefficients for Dy, so baseline OpenMM builds are now numerically ready, while the LanM-tuned refinement path still lacks explicit numeric coefficients."
am1_mex_ss_only_u02,Nd,chelator_tuned_12_6_4_lanmodulin,direct,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b conservatively kept this system custom because the direct 'chelator_tuned_12_6_4_lanmodulin' family was only conceptual at the time. Phase 6A2c now records published generic OPC3 12-6-4 coefficients for Nd, so baseline OpenMM builds are now numerically ready, while the LanM-tuned refinement path still lacks explicit numeric coefficients."
am1_mex_ss_only_u02,Y,chelator_tuned_12_6_4_lanmodulin,direct,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b conservatively kept this system custom because the direct 'chelator_tuned_12_6_4_lanmodulin' family was only conceptual at the time. Phase 6A2c now records published generic OPC3 12-6-4 coefficients for Y, so baseline OpenMM builds are now numerically ready, while the LanM-tuned refinement path still lacks explicit numeric coefficients."
am1_mex_ss_only_u02,Al,generic_12_6_4_highly_charged,proxy,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b already mapped this system through the generic 12-6-4 proxy family for Al. Phase 6A2c now records the published OPC3 baseline coefficients for that family, so baseline OpenMM builds are now numerically ready, while no explicit LanM-tuned coefficients are present in the repo."
am1_mex_ss_only_u02,Fe,generic_12_6_4_highly_charged,proxy,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b already mapped this system through the generic 12-6-4 proxy family for Fe. Phase 6A2c now records the published OPC3 baseline coefficients for that family, so baseline OpenMM builds are now numerically ready, while no explicit LanM-tuned coefficients are present in the repo."
am1_mex_wt_reference,Dy,chelator_tuned_12_6_4_lanmodulin,direct,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b conservatively kept this system custom because the direct 'chelator_tuned_12_6_4_lanmodulin' family was only conceptual at the time. Phase 6A2c now records published generic OPC3 12-6-4 coefficients for Dy, so baseline OpenMM builds are now numerically ready, while the LanM-tuned refinement path still lacks explicit numeric coefficients."
am1_mex_wt_reference,Nd,chelator_tuned_12_6_4_lanmodulin,direct,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b conservatively kept this system custom because the direct 'chelator_tuned_12_6_4_lanmodulin' family was only conceptual at the time. Phase 6A2c now records published generic OPC3 12-6-4 coefficients for Nd, so baseline OpenMM builds are now numerically ready, while the LanM-tuned refinement path still lacks explicit numeric coefficients."
am1_mex_wt_reference,Y,chelator_tuned_12_6_4_lanmodulin,direct,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b conservatively kept this system custom because the direct 'chelator_tuned_12_6_4_lanmodulin' family was only conceptual at the time. Phase 6A2c now records published generic OPC3 12-6-4 coefficients for Y, so baseline OpenMM builds are now numerically ready, while the LanM-tuned refinement path still lacks explicit numeric coefficients."
am1_mex_wt_reference,Al,generic_12_6_4_highly_charged,proxy,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b already mapped this system through the generic 12-6-4 proxy family for Al. Phase 6A2c now records the published OPC3 baseline coefficients for that family, so baseline OpenMM builds are now numerically ready, while no explicit LanM-tuned coefficients are present in the repo."
am1_mex_wt_reference,Fe,generic_12_6_4_highly_charged,proxy,generic_12_6_4_highly_charged,True,chelator_tuned_12_6_4_lanmodulin,False,True,False,"Phase 6A2b already mapped this system through the generic 12-6-4 proxy family for Fe. Phase 6A2c now records the published OPC3 baseline coefficients for that family, so baseline OpenMM builds are now numerically ready, while no explicit LanM-tuned coefficients are present in the repo."
