reviewer_item,issue,technical_correction,status,deliverable
R1.1 / R2-B,Undefined and thermodynamically invalid pocket delta-G proxy,Replace with dimensionless Composite Quality Index = 0.7 ligand confidence + 0.3 overall confidence; remove -RT ln transformation.,Corrected,Figure TC5; model_quality_index.csv
R1.2,Natural occupations and active-space suitability,"Do not regenerate without raw multiroot orbital and occupation data. Require all roots, orbitals, occupations, and active-space justification. Genuine prototype evidence has been added, but it is not project-specific LanM evidence.",Partially addressed: prototype only; project data absent,Figure OM-P1; dy3_natural_occupations_all_roots.csv; quantum_evidence_status_updated.csv
R1.3,"CASPT2 shift, intruder states, number of states","Require program/version, state averaging, imaginary/IPEA shifts, state counts, convergence, and intruder-state diagnostics. Genuine prototype evidence has been added, but it is not project-specific LanM evidence.",Partially addressed: H2 reference only; project data absent,h2_reference_validation.csv; quantum_evidence_status_updated.csv
R1.4,Reduced-cluster size and environmental effect,"Require atom/residue inventory, total charge/multiplicity, caps/constraints, coordinates, and sensitivity comparison.",Blocked: source data absent,quantum_evidence_gap_register.csv
R1.5,Zero-waste claim lacks experimental evidence,Technical package states that no experimental separation or waste-balance evidence is present and narrows the result to a computational candidate-prioritization claim.,Flagged; manuscript wording outside scope,Technical report Sections 1 and 6
R1.6,Only Al and Fe competitors,State that Al(III)/Fe(III) were the tested off-target subset. Do not generalize to Ca/Mg/Zn; recommend an expanded panel.,Corrected limitation,modeling_specification.csv
R1.7,MPNN parameters and filtering unspecified,"Expose exact temperatures, seeds, generated/unique/retained counts, and selection units.",Corrected,Figure TC2; sequence_funnel.csv; modeling_specification.csv
R1.8 / R2-S4,Rosetta realism criteria/cutoffs unspecified,"Correct description to score-only triage: score_jd2, nstruct=1, fixed seed, no relax, no acceptance cutoff, within-topology ranking only.",Corrected and qualified,modeling_specification.csv
R1.9,Hans pocket versus interface unclear,"Distinguish chain-A pocket model from chain-A-designed/B-D-fixed crystallographic context; attribute score difference to model confidence, not inferred structural causality.",Corrected,Figure TC3; finalist_lineage.csv
R2-A1,Spin-orbit coupling not documented,"Require SOC/RASSI-SO/NEVPT2-SO treatment or an explicit scope-limited justification. No claim made from absent data. Genuine prototype evidence has been added, but it is not project-specific LanM evidence.",Partially addressed: atomic-Dy prototype only,Figure OM-P2; dy3_spin_orbit_states.csv; raw prototype logs
R2-A2,Relativistic Hamiltonian and basis sets absent,"Require exact Hamiltonian/ECP, basis sets for all atoms, auxiliary bases, scalar-relativistic settings, and software version. Genuine prototype evidence has been added, but it is not project-specific LanM evidence.",Partially addressed: prototype settings only,OPENMOLCAS_PROTOTYPE_STATUS.md; prototype input and provenance
R2-A3,Active orbitals/occupations across roots not demonstrated,"Require orbital plots and natural occupation numbers for every reported root; verify seven 4f orbitals remain active. Genuine prototype evidence has been added, but it is not project-specific LanM evidence.",Partially addressed: prototype only; project data absent,Figure OM-P1; prototype RasOrb/Molden files
R2-C1,Metal force-field provenance and Al/Fe artifacts,"Report actual generic OPC3-compatible 12-6-4 parameters; state tuned chelator values are absent; treat Al/Fe distances as model-dependent geometry, not affinity evidence.",Corrected with caution,metal_parameter_values.csv; Figure TC4
R2-Minor 1,Christopher Stuetzle spelling,Record the requested spelling correction in the response matrix only; manuscript author line is intentionally unchanged in this package.,Deferred: manuscript outside scope,reviewer_response_matrix.csv
R2-Minor 2,Arg100 not labeled,Identify chain-A Arg100 explicitly and show when it becomes Lys100 in the Hans pocket seed.,Corrected,Figure TC3; finalist_lineage.csv
R2-Minor 3,References 30-36 irrelevant,Record as a manuscript bibliography action; no bibliography is modified in this technical-only package.,Deferred: manuscript outside scope,reviewer_response_matrix.csv
R2-S4 Y-distance,Y distances converge near 2.19 Å,"Report all nine replica values. Similarity is due to the common Y(III) model and near-identical local coordination; displayed equality was rounding, not duplicated data.",Corrected,Figure TC4; openmm_replicates.csv
R2-Data,Deposit raw ORCA .in/.out,"Repository audit finds no ORCA/CASSCF/CASPT2 inputs or outputs. Package lists the required filenames/metadata and marks Figs. 6-7 non-regenerable. Genuine prototype evidence has been added, but it is not project-specific LanM evidence.",Partially addressed: prototype deposited; project files required,results/openmolcas_prototype; SOURCE_DATA_GAPS.md
